commodity,unit,date,price
Butter (Pasteurised),100 gm,2025-08-06,59.13
Eggs ,1 Dozen,2025-08-06,76.66
Brinjal,1 Kg,2025-08-06,43.12
Black Pepper (whole),100 gm,2025-08-06,87.32
Coriander (whole),250 gm,2025-08-06,37.25
Cummin Seed (whole),100 gm,2025-08-06,42.38
Red Chillies (whole),100 gm,2025-08-06,27.92
Turmeric (powder),50 gm,2025-08-06,16.29
Banana,1 Kg,2025-08-06,49.95
Rice,1 Kg,2025-07-13,41.72
Wheat,1 Kg,2025-07-13,31.2
Atta (Wheat),1 Kg,2025-07-13,36.65
Gram Dal(Bharat Dal Adjusted),1 Kg,2025-07-13,80.47
Gram Dal,1 Kg,2025-07-13,84.09
Tur/Arhar Dal,1 Kg,2025-07-13,117.45
Urad Dal,1 Kg,2025-07-13,114.15
Moong Dal,1 Kg,2025-07-13,109.29
Masoor Dal,1 Kg,2025-07-13,86.91
Sugar,1 Kg,2025-07-13,45.44
Milk (₹/ltr),1 Ltr,2025-07-13,58.27
Groundnut Oil (Packed),1 Kg,2025-07-13,187.85
Mustard Oil (Packed),1 Kg,2025-07-13,175.94
Vanaspati (Packed),1 Kg,2025-07-13,154.15
Soya Oil (Packed),1 Kg,2025-07-13,146.68
Sunflower Oil (Packed),1 Kg,2025-07-13,159.5
Palm Oil (Packed),1 Kg,2025-07-13,129.94
Gur,1 Kg,2025-07-13,54.62
Tea Loose,1 Kg,2025-07-13,262.8
Salt Pack (Iodised),1 Kg,2025-07-13,21.42
Potato,1 Kg,2025-07-13,25.02
Onion,1 Kg,2025-07-13,27.01
Tomato,1 Kg,2025-07-13,40.64
Bajra (whole),1 Kg,2025-07-13,37.02
Jowar (whole),1 Kg,2025-07-13,42.49
Maida (wheat),1 Kg,2025-07-13,40.25
Ragi (whole),1 kg,2025-07-13,53.45
Suji (whole),1 Kg,2025-07-13,44.11
Besan,1 Kg,2025-07-13,94.88
Desi Ghee,1 Kg,2025-07-13,651.69
Butter (Pasteurised),100 gm,2025-07-13,58.83
Eggs ,1 Dozen,2025-07-13,77.0
Brinjal,1 Kg,2025-07-13,41.6
